DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 1792, WIFEXITED: 1, WEXITSTATUS: 7
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 32512, WIFEXITED: 1, WEXITSTATUS: 127
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
DEBUG: connect_op exited. Status: 0, WIFEXITED: 1, WEXITSTATUS: 0
